eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.05,0.06707576388000057,7300,101.6231240688837,0.000951542,100,100,100,nan,nan,nan,nan,0.05843667107328179,0.01111306957409765,-0.002473976767378869,nan,nan,nan,nan,0.007220531403106932,0.005053725576000884,0.001740121987480886,nan,nan,nan,nan
0.05,0.07300066954416441,7300,83.45281033453595,0.000940455,100,100,100,nan,nan,nan,nan,0.07548069186732489,-0.003876021411829744,0.001395999088669255,nan,nan,nan,nan,0.01054038742140239,0.005904238288720345,0.001428986478331095,nan,nan,nan,nan
0.05,0.1015700721641923,7300,74.88171080548138,0.001014849,100,100,100,nan,nan,nan,nan,0.09206163643378891,0.01244113729420052,-0.002932701563797145,nan,nan,nan,nan,0.02498001353934662,0.01129920351821739,0.001282221075436325,nan,nan,nan,nan
0.05,0.09659803009411563,7300,82.9356096119174,0.000939038,100,100,100,nan,nan,nan,nan,0.08602523545592788,0.01124686880687681,-0.0006740741686890628,nan,nan,nan,nan,0.01656894132175132,0.006627338361086185,0.001420130301573928,nan,nan,nan,nan
0.05,0.100104995402757,7300,77.72014120915539,0.000937379,100,100,100,nan,nan,nan,nan,0.09699901452325152,0.007978497967243375,-0.004872517087737899,nan,nan,nan,nan,0.01674338693463677,0.008396299228513331,0.001330824335773209,nan,nan,nan,nan
0.05,0.103216524838265,7300,84.62114134854728,0.000937223,100,100,100,nan,nan,nan,nan,0.1014875228165043,0.00975334685129688,-0.008024344829536232,nan,nan,nan,nan,0.02624968138106679,0.009309696968133451,0.001448992146379235,nan,nan,nan,nan
0.05,0.0933953257609032,7300,63.71249540092757,0.000936429,100,100,100,nan,nan,nan,nan,0.08158722160636493,0.01335238787376613,-0.00154428371922785,nan,nan,nan,nan,0.01480453192240056,0.007479922906813991,0.001090967387002185,nan,nan,nan,nan
0.05,0.06444981144097589,7300,81.90022945482998,0.0009365899999999999,100,100,100,nan,nan,nan,nan,0.07123574225321397,-0.006324724518006805,-0.0004612062942312692,nan,nan,nan,nan,0.007603253653312673,0.007273593300367433,0.001402401189295034,nan,nan,nan,nan
0.05,0.1007153769278052,7300,88.23302213526507,0.000936858,100,100,100,nan,nan,nan,nan,0.08520303149914719,0.01979535161538714,-0.004283006186729096,nan,nan,nan,nan,0.01161931594003024,0.006109322717209714,0.001510839420124402,nan,nan,nan,nan
0.05,0.1142076948439976,7300,96.91539232707613,0.000937476,100,100,100,nan,nan,nan,nan,0.08926441096892292,0.02535990554136323,-0.000416621666288566,nan,nan,nan,nan,0.01593264720371341,0.009326932801181678,0.00165951014258692,nan,nan,nan,nan
