Pf,Pc
1.080452796812314022e-02,9.650144219080575986e-03
1.651159070495725883e-02,1.648311247162518103e-02
1.875517164859904495e-01,1.889274992460586722e-01
4.764065481247686806e-02,4.800270308721468066e-02
7.810071070726516684e-02,8.853111311212810697e-02
1.039121294995204448e-01,8.988718594358113823e-02
8.959930682492071169e-03,1.243566469561284589e-02
4.017598522939772043e-03,5.007438676266335806e-03
3.675151811189663817e-03,5.525061819092301311e-03
9.286583129209559362e-02,9.628583747449369346e-02
2.227184874878917684e-02,1.767362212184914183e-02
1.378434618452396287e-01,1.362985565484834960e-01
2.015335396386166121e-03,2.677994106596354087e-03
9.163794233898667208e-02,8.552692440819818775e-02
5.697578957900214028e-03,4.837108254033660980e-03
8.329062028335713908e-02,9.056118316533737223e-02
6.177362280246165294e-02,6.599823846610533562e-02
5.530981718323610581e-03,4.666800117791956339e-03
3.058938463096729232e-01,2.944777819507256589e-01
6.766541802689545956e-03,9.134895430087518198e-03
4.693616159829310658e-03,3.774830532260876285e-03
1.914897973220828220e-01,2.077044659598602516e-01
8.984183406685559981e-03,6.909117715388937535e-03
2.571315454282678270e-01,2.650872492434547811e-01
6.252281358070647943e-02,7.205926327686905386e-02
9.640241708838382870e-03,1.089858625955973485e-02
1.119388519049973191e-01,1.019094202196698523e-01
1.800991419417549422e-01,1.845376490827931037e-01
2.009176157132798179e-01,2.073352617245499130e-01
2.104373181625837988e-02,2.270050507791316133e-02
8.208555128072461682e-03,9.062768428668243822e-03
1.668012374928018737e-01,1.706168503501785394e-01
1.992378368226103980e-02,1.524560729322645657e-02
1.802213851915677317e-02,1.738395541240511308e-02
1.130057350457344678e-01,1.114899103997680219e-01
2.410645040054599508e-01,2.232014742433078569e-01
1.634003444605992839e-03,2.542296430043638599e-03
1.807237621948140638e-02,1.559014602382678347e-02
3.731262986174545965e-02,4.111689546430153525e-02
6.500290448123710596e-03,7.101333823749948933e-03
1.461896693722413154e-01,1.322441940217379264e-01
3.895743477691482846e-04,7.311221389027421297e-04
2.259304243487343742e-03,3.139777510317712413e-03
2.786134799523458661e-01,2.709091619388620531e-01
1.374378681047560245e-02,1.765219386691962988e-02
6.307032610269475148e-02,6.121125929922349024e-02
1.198533456179674790e-04,1.648673155371949229e-05
7.170505942058115478e-02,7.448962549332673044e-02
8.712312331540707222e-02,8.817951720586311715e-02
5.380657723230618944e-02,5.071039801063412927e-02
1.270610598304289240e-01,1.326819798899336322e-01
4.630754746110314346e-01,4.513009911831510346e-01
1.176439068610111993e-03,1.574677908687779990e-03
3.741767819189263655e-02,3.460845364043260708e-02
6.269257542616573503e-03,9.056522304429305559e-03
5.236957639485743943e-02,4.837918817364175034e-02
2.106779971888723957e-01,1.997657386548051528e-01
6.910487382784968879e-02,6.515124433464762610e-02
1.919477717671464259e-02,1.695000415545401193e-02
3.954143999544456668e-04,5.794887166734846419e-05
1.823146926003224935e-02,2.078526720966440700e-02
1.166636014458120006e-02,1.029756869126059217e-02
2.351462665834309093e-04,1.621439818500170545e-03
8.391704637816317647e-02,8.746368637380409761e-02
1.349450464855795825e-02,1.331287002334674910e-02
3.235477413086540466e-02,3.561191397616952220e-02
1.997683098113272326e-01,1.839406276539293783e-01
3.211641307188461969e-01,3.267235081016296450e-01
3.360220268502330659e-02,2.975696709368454498e-02
6.782953612286123091e-02,6.667842821414321497e-02
3.700971265494702039e-02,3.272512327215526540e-02
3.338250107281738686e-03,5.235987471789654325e-03
1.154409785481862599e-01,1.217560661136883465e-01
1.843863065105932897e-02,1.640878101427195590e-02
1.124668928844848592e-01,1.241925419048284934e-01
6.342894453111834474e-02,5.803726181997503897e-02
2.117810015918980271e-01,2.228293128405275381e-01
2.274192919267514941e-03,1.750789427715945768e-03
4.476699232014740536e-03,4.262077254877639360e-03
7.300456504933455770e-02,8.279532482405145555e-02
1.047425170018443600e-03,1.050323783257224412e-03
5.586660917482713954e-04,5.984988211842293820e-04
9.522466800017055644e-02,9.296938276648551713e-02
6.264374083642199054e-02,6.403627016756162360e-02
2.427450906360561957e-03,1.391524432694685089e-03
1.422357557113615723e-01,1.421172662280355270e-01
2.647859690352925149e-02,2.449983695109298615e-02
3.384558119286832766e-03,4.077670303825532694e-03
1.620842396066639324e-02,2.034444267531869063e-02
5.010227723967012325e-01,4.951551556032744994e-01
3.185609582196766154e-02,3.953688261232839174e-02
2.194811898398046912e-02,1.747772437504099136e-02
1.061971921987042433e-01,1.194070795233422161e-01
1.743968824555971499e-04,3.763123790624223588e-04
1.111548148025873033e-02,1.354094055903208062e-02
8.653233723570359637e-02,8.824535151699032520e-02
1.784554437318997683e-02,2.164630174145257269e-02
1.212822350400060041e-02,1.448154217281207544e-02
1.260371410249314485e-03,5.524263478980933218e-04
6.430234195310289592e-03,3.886047159769967767e-03
1.072811060394943533e-01,9.875211993395026366e-02
2.879523521991118992e-04,4.536401094670414294e-05
2.102893474565804832e-03,2.014321303986408868e-03
2.799475413427021610e-06,4.773171565795635484e-04
5.995965159002593359e-02,6.329060695239634160e-02
3.326345164555483819e-02,3.522872336095048129e-02
3.447045048694288849e-02,4.290762646341334668e-02
5.677721037395978831e-02,5.831468745145829136e-02
3.825290198317014834e-02,4.351134106970766524e-02
2.538140492837181149e-03,1.910419069645972372e-03
4.631632410377966094e-03,6.493564226777570961e-03
2.636311119791059920e-01,2.414966299285921381e-01
1.313210769973702230e-01,1.314583881896930206e-01
