Pf,Pc
2.321129927667658632e-01,2.249459083416550098e-01
2.753600709161928978e-02,2.361940776326945310e-02
1.698580252925147721e-02,9.506596513049872521e-03
3.538348040063519218e-01,3.191279092605588397e-01
6.480190749526981535e-03,7.542924422265345416e-03
3.215974621147066892e-01,2.972005388654784253e-01
3.768061049913923322e-02,4.357226370850381114e-02
5.196314647904839859e-04,5.242345234740425916e-04
1.038698725491639076e-04,1.088042769982290657e-04
9.188322082073285824e-02,1.198196035773275853e-01
5.666409116116732404e-03,2.701368813731366142e-03
4.302323748047042623e-02,4.012447834179625611e-02
3.755902623677839225e-01,3.720070731699652300e-01
8.660157152879398301e-02,8.849654308292513594e-02
1.269487104682392453e-01,9.654027703404892413e-02
3.202447225946519066e-02,3.959370223957841411e-02
1.845549004799444670e-01,2.192989905515320137e-01
7.017355451796999932e-02,5.275535585407048478e-02
3.045291397672751366e-01,3.300102454662056095e-01
7.781741958678909700e-03,8.775021104999706015e-03
2.669689403754957335e-01,2.633097923946808860e-01
2.632302120616448193e-01,2.726221930939999871e-01
1.993795767885463144e-01,2.316320507169817300e-01
1.408041913361105651e-02,2.086272258823594627e-02
3.052874754696156476e-02,3.087241867937223772e-02
1.954792505899878574e-01,1.952481536174806298e-01
7.089345327447944996e-04,7.991511883493320953e-05
1.887108711986965753e-02,1.760099378786202096e-02
1.824866626515394413e-02,1.475477001594259138e-02
4.317391578745630176e-01,4.249601583890093570e-01
5.581862716155270437e-02,6.510094984723548139e-02
3.988184607966781953e-02,3.747873392931944797e-02
8.543436436047115168e-02,8.210452519575130170e-02
1.028464830882724751e-01,1.303184095365159945e-01
1.133130047974995475e-01,1.091172971574973088e-01
2.976812489993413413e-01,2.959153383141236993e-01
7.545499639230874855e-01,6.778158126233221337e-01
2.730228286639219213e-03,3.303897751711352862e-04
8.876995988108739299e-02,6.843452243451828010e-02
5.289580132710942385e-03,5.194740799588848032e-03
3.065452010834925425e-02,4.997768619723705341e-02
1.119369181462775281e-01,1.020257552433861820e-01
2.646582522018145131e-02,1.876147114077527170e-02
7.514881472946148555e-02,7.455973204544946720e-02
7.412448280360857122e-01,7.348368390456304633e-01
9.347625637290746248e-02,1.097404931818434515e-01
1.361441401096915079e-05,8.370176504522229121e-04
3.521141303463513200e-02,3.717861257261927815e-02
2.045905133715174018e-01,2.145905898673855505e-01
1.684546770884702950e-03,2.414574681967187209e-03
1.096989174931587568e-01,9.087381156168300445e-02
1.400481023590119563e-02,1.469372021251522109e-02
1.161862683512726244e-02,8.833399082581624290e-03
5.510157558082073512e-03,4.317615941991342042e-03
2.316429874821229751e-02,1.156834715508196429e-02
1.178669626679612475e-01,1.196641845324721148e-01
1.309316385542569350e-02,1.188329917391751055e-02
4.834806682579454451e-01,4.310926822507959999e-01
4.377920925801864760e-02,3.606199587299672299e-02
1.124305831992502246e-02,1.874974890982265829e-02
8.566716426977534493e-02,6.358395952587463096e-02
3.681616405544116052e-03,2.099323357830011009e-03
3.276421952902014954e-03,3.581284001424126125e-03
7.634863047276253638e-03,7.048562583418841419e-03
2.518711106763892316e-01,2.373952465858025218e-01
3.333789770269967798e-03,9.071504587310371542e-03
1.588197097565132720e-01,1.512858309891047248e-01
3.579938665936157737e-03,7.577023283607071859e-04
1.252858363379124890e-04,6.540499583023919473e-04
2.390476063211628976e-01,2.779005392406619923e-01
1.816552858331847431e-01,1.869679448545693012e-01
1.288203758133864459e-02,2.001802255101015060e-02
1.621752179181059073e-01,1.516167348100326273e-01
4.262034354538815628e-02,4.609074635206802245e-02
2.803509452795901330e-02,2.234073702321217464e-02
2.837283444131076249e-01,2.800379370653894862e-01
2.647568498383030041e-03,8.433104127350416965e-03
2.602774681599166473e-01,2.478233337680960657e-01
4.198512905303750792e-02,3.948246414869749366e-02
1.291222226783988736e-01,1.123683257998587676e-01
2.652322226499674238e-02,3.354965205319580118e-02
9.015518899235296091e-02,7.768203978878172877e-02
3.528104170577042037e-02,3.259943912239060548e-02
1.697511328737022207e-01,1.298873022756125983e-01
6.681301000345501572e-04,5.698796257053140144e-05
1.167218452911928696e-02,1.044487149829975009e-02
2.385688798433673596e-01,2.702814308616097172e-01
1.521552395732608462e-02,1.464881199787896292e-02
